Origen,Destino,Distancia[km],Año,Mes,Diferencia de ciclistas,Calle 1 origen,Calle 2 origen,Calle 1 origen id,Calle 2 origen id,Calle 1 destino,Calle 2 destino,Calle 1 destino id,Calle 2 destino id
Virrey Cevallos y Chile,Azopardo y Mexico,2.122,2010,Abril,655,Virrey Cevallos,Chile,1,19,Azopardo,Mexico,2,25
Virrey Cevallos y Chile,Rincon y Carlos Calvo,1.005,2010,Abril,-94,Virrey Cevallos,Chile,1,19,Rincon,Carlos Calvo,3,26
Virrey Cevallos y Chile,Virrey Liniers y C.Calvo,2.721,2010,Abril,582,Virrey Cevallos,Chile,1,19,Virrey Liniers,C.Calvo,4,27
Virrey Cevallos y Chile,Billinghurst y Peron,3.611,2010,Abril,-112,Virrey Cevallos,Chile,1,19,Billinghurst,Peron,5,28
Virrey Cevallos y Chile,Del Libertador y Montevideo,4.485,2010,Abril,146,Virrey Cevallos,Chile,1,19,Del Libertador,Montevideo,6,10
Virrey Cevallos y Chile,Corredor Norte y Casares,6.849,2010,Abril,196,Virrey Cevallos,Chile,1,19,Corredor Norte,Casares,7,29
Virrey Cevallos y Chile,EEUU y 33 Orientales,3.749,2010,Abril,788,Virrey Cevallos,Chile,1,19,EEUU,33 Orientales,8,30
Virrey Cevallos y Chile,F. Alcorta y Derecho,5.367,2010,Abril,-87,Virrey Cevallos,Chile,1,19,F. Alcorta,Derecho,9,31
Virrey Cevallos y Chile,Montevideo y Peron,1.447,2010,Abril,702,Virrey Cevallos,Chile,1,19,Montevideo,Peron,10,28
Virrey Cevallos y Chile,Cnel. Diaz y Mansilla,4.886,2010,Abril,799,Virrey Cevallos,Chile,1,19,Cnel. Diaz,Mansilla,11,32
Virrey Cevallos y Chile,Arenales y Montevideo,2.906,2010,Abril,559,Virrey Cevallos,Chile,1,19,Arenales,Montevideo,12,10
Azopardo y Mexico,Rincon y Carlos Calvo,3.291,2010,Abril,-749,Azopardo,Mexico,2,25,Rincon,Carlos Calvo,3,26
Azopardo y Mexico,Virrey Liniers y C.Calvo,5.02,2010,Abril,-73,Azopardo,Mexico,2,25,Virrey Liniers,C.Calvo,4,27
Azopardo y Mexico,Billinghurst y Peron,5.439,2010,Abril,-767,Azopardo,Mexico,2,25,Billinghurst,Peron,5,28
Azopardo y Mexico,Del Libertador y Montevideo,3.707,2010,Abril,-509,Azopardo,Mexico,2,25,Del Libertador,Montevideo,6,10
Azopardo y Mexico,Corredor Norte y Casares,6.326,2010,Abril,-459,Azopardo,Mexico,2,25,Corredor Norte,Casares,7,29
Azopardo y Mexico,EEUU y 33 Orientales,6.048,2010,Abril,133,Azopardo,Mexico,2,25,EEUU,33 Orientales,8,30
Azopardo y Mexico,F. Alcorta y Derecho,4.588,2010,Abril,-742,Azopardo,Mexico,2,25,F. Alcorta,Derecho,9,31
Azopardo y Mexico,Montevideo y Peron,2.933,2010,Abril,47,Azopardo,Mexico,2,25,Montevideo,Peron,10,28
Azopardo y Mexico,Cnel. Diaz y Mansilla,6.721,2010,Abril,144,Azopardo,Mexico,2,25,Cnel. Diaz,Mansilla,11,32
Azopardo y Mexico,Arenales y Montevideo,4.413,2010,Abril,-96,Azopardo,Mexico,2,25,Arenales,Montevideo,12,10
Rincon y Carlos Calvo,Virrey Liniers y C.Calvo,1.72,2010,Abril,676,Rincon,Carlos Calvo,3,26,Virrey Liniers,C.Calvo,4,27
Rincon y Carlos Calvo,Billinghurst y Peron,3.334,2010,Abril,-18,Rincon,Carlos Calvo,3,26,Billinghurst,Peron,5,28
Rincon y Carlos Calvo,Del Libertador y Montevideo,4.868,2010,Abril,240,Rincon,Carlos Calvo,3,26,Del Libertador,Montevideo,6,10
Rincon y Carlos Calvo,Corredor Norte y Casares,6.572,2010,Abril,290,Rincon,Carlos Calvo,3,26,Corredor Norte,Casares,7,29
Rincon y Carlos Calvo,EEUU y 33 Orientales,2.748,2010,Abril,882,Rincon,Carlos Calvo,3,26,EEUU,33 Orientales,8,30
Rincon y Carlos Calvo,F. Alcorta y Derecho,5.041,2010,Abril,7,Rincon,Carlos Calvo,3,26,F. Alcorta,Derecho,9,31
Rincon y Carlos Calvo,Montevideo y Peron,2.151,2010,Abril,796,Rincon,Carlos Calvo,3,26,Montevideo,Peron,10,28
Rincon y Carlos Calvo,Cnel. Diaz y Mansilla,4.609,2010,Abril,893,Rincon,Carlos Calvo,3,26,Cnel. Diaz,Mansilla,11,32
Rincon y Carlos Calvo,Arenales y Montevideo,4.005,2010,Abril,653,Rincon,Carlos Calvo,3,26,Arenales,Montevideo,12,10
Virrey Liniers y C.Calvo,Billinghurst y Peron,1.849,2010,Abril,-694,Virrey Liniers,C.Calvo,4,27,Billinghurst,Peron,5,28
Virrey Liniers y C.Calvo,Del Libertador y Montevideo,7.374,2010,Abril,-436,Virrey Liniers,C.Calvo,4,27,Del Libertador,Montevideo,6,10
Virrey Liniers y C.Calvo,Corredor Norte y Casares,6.092,2010,Abril,-386,Virrey Liniers,C.Calvo,4,27,Corredor Norte,Casares,7,29
Virrey Liniers y C.Calvo,EEUU y 33 Orientales,1.028,2010,Abril,206,Virrey Liniers,C.Calvo,4,27,EEUU,33 Orientales,8,30
Virrey Liniers y C.Calvo,F. Alcorta y Derecho,6.385,2010,Abril,-669,Virrey Liniers,C.Calvo,4,27,F. Alcorta,Derecho,9,31
Virrey Liniers y C.Calvo,Montevideo y Peron,3.778,2010,Abril,120,Virrey Liniers,C.Calvo,4,27,Montevideo,Peron,10,28
Virrey Liniers y C.Calvo,Cnel. Diaz y Mansilla,3.554,2010,Abril,217,Virrey Liniers,C.Calvo,4,27,Cnel. Diaz,Mansilla,11,32
Virrey Liniers y C.Calvo,Arenales y Montevideo,5.359,2010,Abril,-23,Virrey Liniers,C.Calvo,4,27,Arenales,Montevideo,12,10
Billinghurst y Peron,Del Libertador y Montevideo,5.525,2010,Abril,258,Billinghurst,Peron,5,28,Del Libertador,Montevideo,6,10
Billinghurst y Peron,Corredor Norte y Casares,4.243,2010,Abril,308,Billinghurst,Peron,5,28,Corredor Norte,Casares,7,29
Billinghurst y Peron,EEUU y 33 Orientales,2.812,2010,Abril,900,Billinghurst,Peron,5,28,EEUU,33 Orientales,8,30
Billinghurst y Peron,F. Alcorta y Derecho,4.536,2010,Abril,25,Billinghurst,Peron,5,28,F. Alcorta,Derecho,9,31
Billinghurst y Peron,Montevideo y Peron,3.02,2010,Abril,814,Billinghurst,Peron,5,28,Montevideo,Peron,10,28
Billinghurst y Peron,Cnel. Diaz y Mansilla,1.705,2010,Abril,911,Billinghurst,Peron,5,28,Cnel. Diaz,Mansilla,11,32
Billinghurst y Peron,Arenales y Montevideo,3.958,2010,Abril,671,Billinghurst,Peron,5,28,Arenales,Montevideo,12,10
Del Libertador y Montevideo,Corredor Norte y Casares,2.676,2010,Abril,50,Del Libertador,Montevideo,6,10,Corredor Norte,Casares,7,29
Del Libertador y Montevideo,EEUU y 33 Orientales,7.473,2010,Abril,642,Del Libertador,Montevideo,6,10,EEUU,33 Orientales,8,30
Del Libertador y Montevideo,F. Alcorta y Derecho,0.938,2010,Abril,-233,Del Libertador,Montevideo,6,10,F. Alcorta,Derecho,9,31
Del Libertador y Montevideo,Montevideo y Peron,2.599,2010,Abril,556,Del Libertador,Montevideo,6,10,Montevideo,Peron,10,28
Del Libertador y Montevideo,Cnel. Diaz y Mansilla,4.073,2010,Abril,653,Del Libertador,Montevideo,6,10,Cnel. Diaz,Mansilla,11,32
Del Libertador y Montevideo,Arenales y Montevideo,1.305,2010,Abril,413,Del Libertador,Montevideo,6,10,Arenales,Montevideo,12,10
Corredor Norte y Casares,EEUU y 33 Orientales,6.495,2010,Abril,592,Corredor Norte,Casares,7,29,EEUU,33 Orientales,8,30
Corredor Norte y Casares,F. Alcorta y Derecho,2.339,2010,Abril,-283,Corredor Norte,Casares,7,29,F. Alcorta,Derecho,9,31
Corredor Norte y Casares,Montevideo y Peron,5.064,2010,Abril,506,Corredor Norte,Casares,7,29,Montevideo,Peron,10,28
Corredor Norte y Casares,Cnel. Diaz y Mansilla,2.538,2010,Abril,603,Corredor Norte,Casares,7,29,Cnel. Diaz,Mansilla,11,32
Corredor Norte y Casares,Arenales y Montevideo,3.771,2010,Abril,363,Corredor Norte,Casares,7,29,Arenales,Montevideo,12,10
EEUU y 33 Orientales,F. Alcorta y Derecho,7.169,2010,Abril,-875,EEUU,33 Orientales,8,30,F. Alcorta,Derecho,9,31
EEUU y 33 Orientales,Montevideo y Peron,4.563,2010,Abril,-86,EEUU,33 Orientales,8,30,Montevideo,Peron,10,28
EEUU y 33 Orientales,Cnel. Diaz y Mansilla,4.338,2010,Abril,11,EEUU,33 Orientales,8,30,Cnel. Diaz,Mansilla,11,32
EEUU y 33 Orientales,Arenales y Montevideo,6.144,2010,Abril,-229,EEUU,33 Orientales,8,30,Arenales,Montevideo,12,10
F. Alcorta y Derecho,Montevideo y Peron,3.26,2010,Abril,789,F. Alcorta,Derecho,9,31,Montevideo,Peron,10,28
F. Alcorta y Derecho,Cnel. Diaz y Mansilla,3.136,2010,Abril,886,F. Alcorta,Derecho,9,31,Cnel. Diaz,Mansilla,11,32
F. Alcorta y Derecho,Arenales y Montevideo,1.966,2010,Abril,646,F. Alcorta,Derecho,9,31,Arenales,Montevideo,12,10
Montevideo y Peron,Cnel. Diaz y Mansilla,3.461,2010,Abril,97,Montevideo,Peron,10,28,Cnel. Diaz,Mansilla,11,32
Montevideo y Peron,Arenales y Montevideo,1.293,2010,Abril,-143,Montevideo,Peron,10,28,Arenales,Montevideo,12,10
Cnel. Diaz y Mansilla,Arenales y Montevideo,3.011,2010,Abril,-240,Cnel. Diaz,Mansilla,11,32,Arenales,Montevideo,12,10
Virrey Cevallos y Chile,Azopardo y Mexico,2.122,2010,Mayo,652,Virrey Cevallos,Chile,1,19,Azopardo,Mexico,2,25
Virrey Cevallos y Chile,Rincon y Carlos Calvo,1.005,2010,Mayo,120,Virrey Cevallos,Chile,1,19,Rincon,Carlos Calvo,3,26
Virrey Cevallos y Chile,Virrey Liniers y C.Calvo,2.721,2010,Mayo,498,Virrey Cevallos,Chile,1,19,Virrey Liniers,C.Calvo,4,27
Virrey Cevallos y Chile,Billinghurst y Peron,3.611,2010,Mayo,57,Virrey Cevallos,Chile,1,19,Billinghurst,Peron,5,28
Virrey Cevallos y Chile,Del Libertador y Montevideo,4.485,2010,Mayo,290,Virrey Cevallos,Chile,1,19,Del Libertador,Montevideo,6,10
Virrey Cevallos y Chile,Corredor Norte y Casares,6.849,2010,Mayo,470,Virrey Cevallos,Chile,1,19,Corredor Norte,Casares,7,29
Virrey Cevallos y Chile,EEUU y 33 Orientales,3.749,2010,Mayo,852,Virrey Cevallos,Chile,1,19,EEUU,33 Orientales,8,30
Virrey Cevallos y Chile,F. Alcorta y Derecho,5.367,2010,Mayo,79,Virrey Cevallos,Chile,1,19,F. Alcorta,Derecho,9,31
Virrey Cevallos y Chile,Montevideo y Peron,1.447,2010,Mayo,776,Virrey Cevallos,Chile,1,19,Montevideo,Peron,10,28
Virrey Cevallos y Chile,Cnel. Diaz y Mansilla,4.886,2010,Mayo,862,Virrey Cevallos,Chile,1,19,Cnel. Diaz,Mansilla,11,32
Virrey Cevallos y Chile,Arenales y Montevideo,2.906,2010,Mayo,650,Virrey Cevallos,Chile,1,19,Arenales,Montevideo,12,10
Azopardo y Mexico,Rincon y Carlos Calvo,3.291,2010,Mayo,-532,Azopardo,Mexico,2,25,Rincon,Carlos Calvo,3,26
Azopardo y Mexico,Virrey Liniers y C.Calvo,5.02,2010,Mayo,-154,Azopardo,Mexico,2,25,Virrey Liniers,C.Calvo,4,27
Azopardo y Mexico,Billinghurst y Peron,5.439,2010,Mayo,-595,Azopardo,Mexico,2,25,Billinghurst,Peron,5,28
Azopardo y Mexico,Del Libertador y Montevideo,3.707,2010,Mayo,-362,Azopardo,Mexico,2,25,Del Libertador,Montevideo,6,10
Azopardo y Mexico,Corredor Norte y Casares,6.326,2010,Mayo,-182,Azopardo,Mexico,2,25,Corredor Norte,Casares,7,29
Azopardo y Mexico,EEUU y 33 Orientales,6.048,2010,Mayo,200,Azopardo,Mexico,2,25,EEUU,33 Orientales,8,30
Azopardo y Mexico,F. Alcorta y Derecho,4.588,2010,Mayo,-573,Azopardo,Mexico,2,25,F. Alcorta,Derecho,9,31
Azopardo y Mexico,Montevideo y Peron,2.933,2010,Mayo,124,Azopardo,Mexico,2,25,Montevideo,Peron,10,28
Azopardo y Mexico,Cnel. Diaz y Mansilla,6.721,2010,Mayo,210,Azopardo,Mexico,2,25,Cnel. Diaz,Mansilla,11,32
Azopardo y Mexico,Arenales y Montevideo,4.413,2010,Mayo,-2,Azopardo,Mexico,2,25,Arenales,Montevideo,12,10
Rincon y Carlos Calvo,Virrey Liniers y C.Calvo,1.72,2010,Mayo,378,Rincon,Carlos Calvo,3,26,Virrey Liniers,C.Calvo,4,27
Rincon y Carlos Calvo,Billinghurst y Peron,3.334,2010,Mayo,-63,Rincon,Carlos Calvo,3,26,Billinghurst,Peron,5,28
Rincon y Carlos Calvo,Del Libertador y Montevideo,4.868,2010,Mayo,170,Rincon,Carlos Calvo,3,26,Del Libertador,Montevideo,6,10
Rincon y Carlos Calvo,Corredor Norte y Casares,6.572,2010,Mayo,350,Rincon,Carlos Calvo,3,26,Corredor Norte,Casares,7,29
Rincon y Carlos Calvo,EEUU y 33 Orientales,2.748,2010,Mayo,732,Rincon,Carlos Calvo,3,26,EEUU,33 Orientales,8,30
Rincon y Carlos Calvo,F. Alcorta y Derecho,5.041,2010,Mayo,-41,Rincon,Carlos Calvo,3,26,F. Alcorta,Derecho,9,31
Rincon y Carlos Calvo,Montevideo y Peron,2.151,2010,Mayo,656,Rincon,Carlos Calvo,3,26,Montevideo,Peron,10,28
Rincon y Carlos Calvo,Cnel. Diaz y Mansilla,4.609,2010,Mayo,742,Rincon,Carlos Calvo,3,26,Cnel. Diaz,Mansilla,11,32
Rincon y Carlos Calvo,Arenales y Montevideo,4.005,2010,Mayo,530,Rincon,Carlos Calvo,3,26,Arenales,Montevideo,12,10
Virrey Liniers y C.Calvo,Billinghurst y Peron,1.849,2010,Mayo,-441,Virrey Liniers,C.Calvo,4,27,Billinghurst,Peron,5,28
Virrey Liniers y C.Calvo,Del Libertador y Montevideo,7.374,2010,Mayo,-208,Virrey Liniers,C.Calvo,4,27,Del Libertador,Montevideo,6,10
Virrey Liniers y C.Calvo,Corredor Norte y Casares,6.092,2010,Mayo,-28,Virrey Liniers,C.Calvo,4,27,Corredor Norte,Casares,7,29
Virrey Liniers y C.Calvo,EEUU y 33 Orientales,1.028,2010,Mayo,354,Virrey Liniers,C.Calvo,4,27,EEUU,33 Orientales,8,30
Virrey Liniers y C.Calvo,F. Alcorta y Derecho,6.385,2010,Mayo,-419,Virrey Liniers,C.Calvo,4,27,F. Alcorta,Derecho,9,31
Virrey Liniers y C.Calvo,Montevideo y Peron,3.778,2010,Mayo,278,Virrey Liniers,C.Calvo,4,27,Montevideo,Peron,10,28
Virrey Liniers y C.Calvo,Cnel. Diaz y Mansilla,3.554,2010,Mayo,364,Virrey Liniers,C.Calvo,4,27,Cnel. Diaz,Mansilla,11,32
Virrey Liniers y C.Calvo,Arenales y Montevideo,5.359,2010,Mayo,152,Virrey Liniers,C.Calvo,4,27,Arenales,Montevideo,12,10
Billinghurst y Peron,Del Libertador y Montevideo,5.525,2010,Mayo,233,Billinghurst,Peron,5,28,Del Libertador,Montevideo,6,10
Billinghurst y Peron,Corredor Norte y Casares,4.243,2010,Mayo,413,Billinghurst,Peron,5,28,Corredor Norte,Casares,7,29
Billinghurst y Peron,EEUU y 33 Orientales,2.812,2010,Mayo,795,Billinghurst,Peron,5,28,EEUU,33 Orientales,8,30
