Source address;Destination address;Distance[km]
Virrey Cevallos y Chile;Azopardo y Mexico;2.122
Virrey Cevallos y Chile;Rincon y Carlos Calvo;1.005
Virrey Cevallos y Chile;Virrey Liniers y C.Calvo;2.721
Virrey Cevallos y Chile;Billinghurst y Peron;3.611
Virrey Cevallos y Chile;Del Libertador y Montevideo;4.485
Virrey Cevallos y Chile;Corredor Norte y Casares;6.849
Virrey Cevallos y Chile;EEUU y 33 Orientales;3.749
Virrey Cevallos y Chile;F. Alcorta y Derecho;5.367
Virrey Cevallos y Chile;Montevideo y Peron;1.447
Virrey Cevallos y Chile;Cnel. Diaz y Mansilla;4.886
Virrey Cevallos y Chile;Arenales y Montevideo;2.906
Virrey Cevallos y Chile;Potosi y Rawson;4.554
Virrey Cevallos y Chile;J. Alvarez y Padilla;6.864
Virrey Cevallos y Chile;Chile y Tacuari;1.018
Virrey Cevallos y Chile;Serrano y Loyola;6.803
Virrey Cevallos y Chile;Gorriti y G. Cruz;6.945
Virrey Cevallos y Chile;11 de Sep y Monroe;11.425
Virrey Cevallos y Chile;M.T. Alvear y Uriburu;3.051
Virrey Cevallos y Chile;La Pampa y Superi;10.164
Azopardo y Mexico;Rincon y Carlos Calvo;3.291
Azopardo y Mexico;Virrey Liniers y C.Calvo;5.02
Azopardo y Mexico;Billinghurst y Peron;5.439
Azopardo y Mexico;Del Libertador y Montevideo;3.707
Azopardo y Mexico;Corredor Norte y Casares;6.326
Azopardo y Mexico;EEUU y 33 Orientales;6.048
Azopardo y Mexico;F. Alcorta y Derecho;4.588
Azopardo y Mexico;Montevideo y Peron;2.933
Azopardo y Mexico;Cnel. Diaz y Mansilla;6.721
Azopardo y Mexico;Arenales y Montevideo;4.413
Azopardo y Mexico;Potosi y Rawson;6.382
Azopardo y Mexico;J. Alvarez y Padilla;8.691
Azopardo y Mexico;Chile y Tacuari;1.366
Azopardo y Mexico;Serrano y Loyola;8.63
Azopardo y Mexico;Gorriti y G. Cruz;8.772
Azopardo y Mexico;11 de Sep y Monroe;11.503
Azopardo y Mexico;M.T. Alvear y Uriburu;4.829
Azopardo y Mexico;La Pampa y Superi;11.991
Rincon y Carlos Calvo;Virrey Liniers y C.Calvo;1.72
Rincon y Carlos Calvo;Billinghurst y Peron;3.334
Rincon y Carlos Calvo;Del Libertador y Montevideo;4.868
Rincon y Carlos Calvo;Corredor Norte y Casares;6.572
Rincon y Carlos Calvo;EEUU y 33 Orientales;2.748
Rincon y Carlos Calvo;F. Alcorta y Derecho;5.041
Rincon y Carlos Calvo;Montevideo y Peron;2.151
Rincon y Carlos Calvo;Cnel. Diaz y Mansilla;4.609
Rincon y Carlos Calvo;Arenales y Montevideo;4.005
Rincon y Carlos Calvo;Potosi y Rawson;4.277
Rincon y Carlos Calvo;J. Alvarez y Padilla;6.587
Rincon y Carlos Calvo;Chile y Tacuari;2.025
Rincon y Carlos Calvo;Serrano y Loyola;6.526
Rincon y Carlos Calvo;Gorriti y G. Cruz;6.668
Rincon y Carlos Calvo;11 de Sep y Monroe;11.148
Rincon y Carlos Calvo;M.T. Alvear y Uriburu;2.774
Rincon y Carlos Calvo;La Pampa y Superi;9.887
Virrey Liniers y C.Calvo;Billinghurst y Peron;1.849
Virrey Liniers y C.Calvo;Del Libertador y Montevideo;7.374
Virrey Liniers y C.Calvo;Corredor Norte y Casares;6.092
Virrey Liniers y C.Calvo;EEUU y 33 Orientales;1.028
Virrey Liniers y C.Calvo;F. Alcorta y Derecho;6.385
Virrey Liniers y C.Calvo;Montevideo y Peron;3.778
Virrey Liniers y C.Calvo;Cnel. Diaz y Mansilla;3.554
Virrey Liniers y C.Calvo;Arenales y Montevideo;5.359
Virrey Liniers y C.Calvo;Potosi y Rawson;2.793
Virrey Liniers y C.Calvo;J. Alvarez y Padilla;4.574
Virrey Liniers y C.Calvo;Chile y Tacuari;3.859
Virrey Liniers y C.Calvo;Serrano y Loyola;4.938
Virrey Liniers y C.Calvo;Gorriti y G. Cruz;5.578
Virrey Liniers y C.Calvo;11 de Sep y Monroe;10.668
Virrey Liniers y C.Calvo;M.T. Alvear y Uriburu;4.128
Virrey Liniers y C.Calvo;La Pampa y Superi;8.797
Billinghurst y Peron;Del Libertador y Montevideo;5.525
Billinghurst y Peron;Corredor Norte y Casares;4.243
Billinghurst y Peron;EEUU y 33 Orientales;2.812
Billinghurst y Peron;F. Alcorta y Derecho;4.536
Billinghurst y Peron;Montevideo y Peron;3.02
Billinghurst y Peron;Cnel. Diaz y Mansilla;1.705
Billinghurst y Peron;Arenales y Montevideo;3.958
Billinghurst y Peron;Potosi y Rawson;0.986
Billinghurst y Peron;J. Alvarez y Padilla;2.767
Billinghurst y Peron;Chile y Tacuari;4.629
Billinghurst y Peron;Serrano y Loyola;3.131
Billinghurst y Peron;Gorriti y G. Cruz;3.729
Billinghurst y Peron;11 de Sep y Monroe;8.819
Billinghurst y Peron;M.T. Alvear y Uriburu;2.726
Billinghurst y Peron;La Pampa y Superi;6.948
Del Libertador y Montevideo;Corredor Norte y Casares;2.676
Del Libertador y Montevideo;EEUU y 33 Orientales;7.473
Del Libertador y Montevideo;F. Alcorta y Derecho;0.938
Del Libertador y Montevideo;Montevideo y Peron;2.599
Del Libertador y Montevideo;Cnel. Diaz y Mansilla;4.073
Del Libertador y Montevideo;Arenales y Montevideo;1.305
Del Libertador y Montevideo;Potosi y Rawson;5.694
Del Libertador y Montevideo;J. Alvarez y Padilla;6.397
Del Libertador y Montevideo;Chile y Tacuari;4.227
Del Libertador y Montevideo;Serrano y Loyola;6.336
Del Libertador y Montevideo;Gorriti y G. Cruz;6.117
Del Libertador y Montevideo;11 de Sep y Monroe;7.853
Del Libertador y Montevideo;M.T. Alvear y Uriburu;2.541
Del Libertador y Montevideo;La Pampa y Superi;9.258
Corredor Norte y Casares;EEUU y 33 Orientales;6.495
Corredor Norte y Casares;F. Alcorta y Derecho;2.339
Corredor Norte y Casares;Montevideo y Peron;5.064
Corredor Norte y Casares;Cnel. Diaz y Mansilla;2.538
Corredor Norte y Casares;Arenales y Montevideo;3.771
Corredor Norte y Casares;Potosi y Rawson;4.669
