Origen,Destino,Distancia[km],Calle 1,Calle 2,Calle 1 id,Calle 2 id
Virrey Cevallos y Chile,Azopardo y Mexico,2.122,Azopardo,Mexico,2,25
Virrey Cevallos y Chile,Rincon y Carlos Calvo,1.005,Rincon,Carlos Calvo,3,26
Virrey Cevallos y Chile,Virrey Liniers y C.Calvo,2.721,Virrey Liniers,C.Calvo,4,27
Virrey Cevallos y Chile,Billinghurst y Peron,3.611,Billinghurst,Peron,5,28
Virrey Cevallos y Chile,Del Libertador y Montevideo,4.485,Del Libertador,Montevideo,6,10
Virrey Cevallos y Chile,Corredor Norte y Casares,6.849,Corredor Norte,Casares,7,29
Virrey Cevallos y Chile,EEUU y 33 Orientales,3.749,EEUU,33 Orientales,8,30
Virrey Cevallos y Chile,F. Alcorta y Derecho,5.367,F. Alcorta,Derecho,9,31
Virrey Cevallos y Chile,Montevideo y Peron,1.447,Montevideo,Peron,10,28
Virrey Cevallos y Chile,Cnel. Diaz y Mansilla,4.886,Cnel. Diaz,Mansilla,11,32
Virrey Cevallos y Chile,Arenales y Montevideo,2.906,Arenales,Montevideo,12,10
Virrey Cevallos y Chile,Potosi y Rawson,4.554,Potosi,Rawson,17,33
Virrey Cevallos y Chile,J. Alvarez y Padilla,6.864,J. Alvarez,Padilla,18,34
Virrey Cevallos y Chile,Chile y Tacuari,1.018,Chile,Tacuari,19,35
Virrey Cevallos y Chile,Serrano y Loyola,6.803,Serrano,Loyola,20,36
Virrey Cevallos y Chile,Gorriti y G. Cruz,6.945,Gorriti,G. Cruz,21,37
Virrey Cevallos y Chile,11 de Sep y Monroe,11.425,11 de Sep,Monroe,22,38
Virrey Cevallos y Chile,M.T. Alvear y Uriburu,3.051,M.T. Alvear,Uriburu,23,39
Virrey Cevallos y Chile,La Pampa y Superi,10.164,La Pampa,Superi,24,40
Azopardo y Mexico,Rincon y Carlos Calvo,3.291,Rincon,Carlos Calvo,3,26
Azopardo y Mexico,Virrey Liniers y C.Calvo,5.02,Virrey Liniers,C.Calvo,4,27
Azopardo y Mexico,Billinghurst y Peron,5.439,Billinghurst,Peron,5,28
Azopardo y Mexico,Del Libertador y Montevideo,3.707,Del Libertador,Montevideo,6,10
Azopardo y Mexico,Corredor Norte y Casares,6.326,Corredor Norte,Casares,7,29
Azopardo y Mexico,EEUU y 33 Orientales,6.048,EEUU,33 Orientales,8,30
Azopardo y Mexico,F. Alcorta y Derecho,4.588,F. Alcorta,Derecho,9,31
Azopardo y Mexico,Montevideo y Peron,2.933,Montevideo,Peron,10,28
Azopardo y Mexico,Cnel. Diaz y Mansilla,6.721,Cnel. Diaz,Mansilla,11,32
Azopardo y Mexico,Arenales y Montevideo,4.413,Arenales,Montevideo,12,10
Azopardo y Mexico,Potosi y Rawson,6.382,Potosi,Rawson,17,33
Azopardo y Mexico,J. Alvarez y Padilla,8.691,J. Alvarez,Padilla,18,34
Azopardo y Mexico,Chile y Tacuari,1.366,Chile,Tacuari,19,35
Azopardo y Mexico,Serrano y Loyola,8.63,Serrano,Loyola,20,36
Azopardo y Mexico,Gorriti y G. Cruz,8.772,Gorriti,G. Cruz,21,37
Azopardo y Mexico,11 de Sep y Monroe,11.503,11 de Sep,Monroe,22,38
Azopardo y Mexico,M.T. Alvear y Uriburu,4.829,M.T. Alvear,Uriburu,23,39
Azopardo y Mexico,La Pampa y Superi,11.991,La Pampa,Superi,24,40
Rincon y Carlos Calvo,Virrey Liniers y C.Calvo,1.72,Virrey Liniers,C.Calvo,4,27
Rincon y Carlos Calvo,Billinghurst y Peron,3.334,Billinghurst,Peron,5,28
Rincon y Carlos Calvo,Del Libertador y Montevideo,4.868,Del Libertador,Montevideo,6,10
Rincon y Carlos Calvo,Corredor Norte y Casares,6.572,Corredor Norte,Casares,7,29
Rincon y Carlos Calvo,EEUU y 33 Orientales,2.748,EEUU,33 Orientales,8,30
Rincon y Carlos Calvo,F. Alcorta y Derecho,5.041,F. Alcorta,Derecho,9,31
Rincon y Carlos Calvo,Montevideo y Peron,2.151,Montevideo,Peron,10,28
Rincon y Carlos Calvo,Cnel. Diaz y Mansilla,4.609,Cnel. Diaz,Mansilla,11,32
Rincon y Carlos Calvo,Arenales y Montevideo,4.005,Arenales,Montevideo,12,10
Rincon y Carlos Calvo,Potosi y Rawson,4.277,Potosi,Rawson,17,33
Rincon y Carlos Calvo,J. Alvarez y Padilla,6.587,J. Alvarez,Padilla,18,34
Rincon y Carlos Calvo,Chile y Tacuari,2.025,Chile,Tacuari,19,35
Rincon y Carlos Calvo,Serrano y Loyola,6.526,Serrano,Loyola,20,36
Rincon y Carlos Calvo,Gorriti y G. Cruz,6.668,Gorriti,G. Cruz,21,37
Rincon y Carlos Calvo,11 de Sep y Monroe,11.148,11 de Sep,Monroe,22,38
Rincon y Carlos Calvo,M.T. Alvear y Uriburu,2.774,M.T. Alvear,Uriburu,23,39
Rincon y Carlos Calvo,La Pampa y Superi,9.887,La Pampa,Superi,24,40
Virrey Liniers y C.Calvo,Billinghurst y Peron,1.849,Billinghurst,Peron,5,28
Virrey Liniers y C.Calvo,Del Libertador y Montevideo,7.374,Del Libertador,Montevideo,6,10
Virrey Liniers y C.Calvo,Corredor Norte y Casares,6.092,Corredor Norte,Casares,7,29
Virrey Liniers y C.Calvo,EEUU y 33 Orientales,1.028,EEUU,33 Orientales,8,30
Virrey Liniers y C.Calvo,F. Alcorta y Derecho,6.385,F. Alcorta,Derecho,9,31
Virrey Liniers y C.Calvo,Montevideo y Peron,3.778,Montevideo,Peron,10,28
Virrey Liniers y C.Calvo,Cnel. Diaz y Mansilla,3.554,Cnel. Diaz,Mansilla,11,32
Virrey Liniers y C.Calvo,Arenales y Montevideo,5.359,Arenales,Montevideo,12,10
Virrey Liniers y C.Calvo,Potosi y Rawson,2.793,Potosi,Rawson,17,33
Virrey Liniers y C.Calvo,J. Alvarez y Padilla,4.574,J. Alvarez,Padilla,18,34
Virrey Liniers y C.Calvo,Chile y Tacuari,3.859,Chile,Tacuari,19,35
Virrey Liniers y C.Calvo,Serrano y Loyola,4.938,Serrano,Loyola,20,36
Virrey Liniers y C.Calvo,Gorriti y G. Cruz,5.578,Gorriti,G. Cruz,21,37
Virrey Liniers y C.Calvo,11 de Sep y Monroe,10.668,11 de Sep,Monroe,22,38
Virrey Liniers y C.Calvo,M.T. Alvear y Uriburu,4.128,M.T. Alvear,Uriburu,23,39
Virrey Liniers y C.Calvo,La Pampa y Superi,8.797,La Pampa,Superi,24,40
Billinghurst y Peron,Del Libertador y Montevideo,5.525,Del Libertador,Montevideo,6,10
Billinghurst y Peron,Corredor Norte y Casares,4.243,Corredor Norte,Casares,7,29
Billinghurst y Peron,EEUU y 33 Orientales,2.812,EEUU,33 Orientales,8,30
Billinghurst y Peron,F. Alcorta y Derecho,4.536,F. Alcorta,Derecho,9,31
Billinghurst y Peron,Montevideo y Peron,3.02,Montevideo,Peron,10,28
Billinghurst y Peron,Cnel. Diaz y Mansilla,1.705,Cnel. Diaz,Mansilla,11,32
Billinghurst y Peron,Arenales y Montevideo,3.958,Arenales,Montevideo,12,10
Billinghurst y Peron,Potosi y Rawson,0.986,Potosi,Rawson,17,33
Billinghurst y Peron,J. Alvarez y Padilla,2.767,J. Alvarez,Padilla,18,34
Billinghurst y Peron,Chile y Tacuari,4.629,Chile,Tacuari,19,35
Billinghurst y Peron,Serrano y Loyola,3.131,Serrano,Loyola,20,36
Billinghurst y Peron,Gorriti y G. Cruz,3.729,Gorriti,G. Cruz,21,37
Billinghurst y Peron,11 de Sep y Monroe,8.819,11 de Sep,Monroe,22,38
Billinghurst y Peron,M.T. Alvear y Uriburu,2.726,M.T. Alvear,Uriburu,23,39
Billinghurst y Peron,La Pampa y Superi,6.948,La Pampa,Superi,24,40
Del Libertador y Montevideo,Corredor Norte y Casares,2.676,Corredor Norte,Casares,7,29
Del Libertador y Montevideo,EEUU y 33 Orientales,7.473,EEUU,33 Orientales,8,30
Del Libertador y Montevideo,F. Alcorta y Derecho,0.938,F. Alcorta,Derecho,9,31
Del Libertador y Montevideo,Montevideo y Peron,2.599,Montevideo,Peron,10,28
Del Libertador y Montevideo,Cnel. Diaz y Mansilla,4.073,Cnel. Diaz,Mansilla,11,32
Del Libertador y Montevideo,Arenales y Montevideo,1.305,Arenales,Montevideo,12,10
Del Libertador y Montevideo,Potosi y Rawson,5.694,Potosi,Rawson,17,33
