año,mes,punto_cruce,cantidad_ciclistas,Calle 1,Calle 2,Calle 1 Id,Calle 2 Id,Mes Id
2010,Abril,Virrey Cevallos y Chile,1004,Virrey Cevallos,Chile,1,19,4
2010,Abril,Azopardo y Mexico,349,Azopardo,Mexico,2,25,4
2010,Abril,Rincon y Carlos Calvo,1098,Rincon,Carlos Calvo,3,26,4
2010,Abril,Virrey Liniers y C.Calvo,422,Virrey Liniers,C.Calvo,4,27,4
2010,Abril,Billinghurst y Peron,1116,Billinghurst,Peron,5,28,4
2010,Abril,Del Libertador y Montevideo,858,Del Libertador,Montevideo,6,10,4
2010,Abril,Corredor Norte y Casares,808,Corredor Norte,Casares,7,29,4
2010,Abril,EEUU y 33 Orientales,216,EEUU,33 Orientales,8,30,4
2010,Abril,F. Alcorta y Derecho,1091,F. Alcorta,Derecho,9,31,4
2010,Abril,Montevideo y Peron,302,Montevideo,Peron,10,28,4
2010,Abril,Cnel. Diaz y Mansilla,205,Cnel. Diaz,Mansilla,11,32,4
2010,Abril,Arenales y Montevideo,445,Arenales,Montevideo,12,10,4
2010,Mayo,Virrey Cevallos y Chile,1043,Virrey Cevallos,Chile,1,19,5
2010,Mayo,Azopardo y Mexico,391,Azopardo,Mexico,2,25,5
2010,Mayo,Rincon y Carlos Calvo,923,Rincon,Carlos Calvo,3,26,5
2010,Mayo,Virrey Liniers y C.Calvo,545,Virrey Liniers,C.Calvo,4,27,5
2010,Mayo,Billinghurst y Peron,986,Billinghurst,Peron,5,28,5
2010,Mayo,Del Libertador y Montevideo,753,Del Libertador,Montevideo,6,10,5
2010,Mayo,Corredor Norte y Casares,573,Corredor Norte,Casares,7,29,5
2010,Mayo,EEUU y 33 Orientales,191,EEUU,33 Orientales,8,30,5
2010,Mayo,F. Alcorta y Derecho,964,F. Alcorta,Derecho,9,31,5
2010,Mayo,Montevideo y Peron,267,Montevideo,Peron,10,28,5
2010,Mayo,Cnel. Diaz y Mansilla,181,Cnel. Diaz,Mansilla,11,32,5
2010,Mayo,Arenales y Montevideo,393,Arenales,Montevideo,12,10,5
2010,Junio,Virrey Cevallos y Chile,898,Virrey Cevallos,Chile,1,19,6
2010,Junio,Azopardo y Mexico,420,Azopardo,Mexico,2,25,6
2010,Junio,Rincon y Carlos Calvo,1021,Rincon,Carlos Calvo,3,26,6
2010,Junio,Virrey Liniers y C.Calvo,443,Virrey Liniers,C.Calvo,4,27,6
2010,Junio,Billinghurst y Peron,877,Billinghurst,Peron,5,28,6
2010,Junio,Del Libertador y Montevideo,676,Del Libertador,Montevideo,6,10,6
2010,Junio,Corredor Norte y Casares,621,Corredor Norte,Casares,7,29,6
2010,Junio,EEUU y 33 Orientales,170,EEUU,33 Orientales,8,30,6
2010,Junio,F. Alcorta y Derecho,856,F. Alcorta,Derecho,9,31,6
2010,Junio,Montevideo y Peron,237,Montevideo,Peron,10,28,6
2010,Junio,Cnel. Diaz y Mansilla,161,Cnel. Diaz,Mansilla,11,32,6
2010,Junio,Arenales y Montevideo,349,Arenales,Montevideo,12,10,6
2010,Julio,Virrey Cevallos y Chile,681,Virrey Cevallos,Chile,1,19,7
2010,Julio,Azopardo y Mexico,379,Azopardo,Mexico,2,25,7
2010,Julio,Rincon y Carlos Calvo,883,Rincon,Carlos Calvo,3,26,7
2010,Julio,Virrey Liniers y C.Calvo,263,Virrey Liniers,C.Calvo,4,27,7
2010,Julio,Billinghurst y Peron,732,Billinghurst,Peron,5,28,7
2010,Julio,Del Libertador y Montevideo,558,Del Libertador,Montevideo,6,10,7
2010,Julio,Corredor Norte y Casares,622,Corredor Norte,Casares,7,29,7
2010,Julio,EEUU y 33 Orientales,142,EEUU,33 Orientales,8,30,7
2010,Julio,F. Alcorta y Derecho,715,F. Alcorta,Derecho,9,31,7
2010,Julio,Montevideo y Peron,198,Montevideo,Peron,10,28,7
2010,Julio,Cnel. Diaz y Mansilla,135,Cnel. Diaz,Mansilla,11,32,7
2010,Julio,Arenales y Montevideo,292,Arenales,Montevideo,12,10,7
2010,Agosto,Virrey Cevallos y Chile,851,Virrey Cevallos,Chile,1,19,8
2010,Agosto,Azopardo y Mexico,354,Azopardo,Mexico,2,25,8
2010,Agosto,Rincon y Carlos Calvo,734,Rincon,Carlos Calvo,3,26,8
2010,Agosto,Virrey Liniers y C.Calvo,352,Virrey Liniers,C.Calvo,4,27,8
2010,Agosto,Billinghurst y Peron,806,Billinghurst,Peron,5,28,8
2010,Agosto,Del Libertador y Montevideo,618,Del Libertador,Montevideo,6,10,8
2010,Agosto,Corredor Norte y Casares,515,Corredor Norte,Casares,7,29,8
2010,Agosto,EEUU y 33 Orientales,156,EEUU,33 Orientales,8,30,8
2010,Agosto,F. Alcorta y Derecho,788,F. Alcorta,Derecho,9,31,8
2010,Agosto,Montevideo y Peron,218,Montevideo,Peron,10,28,8
2010,Agosto,Cnel. Diaz y Mansilla,148,Cnel. Diaz,Mansilla,11,32,8
2010,Agosto,Arenales y Montevideo,321,Arenales,Montevideo,12,10,8
2010,Septiembre,Virrey Cevallos y Chile,973,Virrey Cevallos,Chile,1,19,9
2010,Septiembre,Azopardo y Mexico,573,Azopardo,Mexico,2,25,9
2010,Septiembre,Rincon y Carlos Calvo,1147,Rincon,Carlos Calvo,3,26,9
2010,Septiembre,Virrey Liniers y C.Calvo,540,Virrey Liniers,C.Calvo,4,27,9
2010,Septiembre,Billinghurst y Peron,869,Billinghurst,Peron,5,28,9
2010,Septiembre,Del Libertador y Montevideo,661,Del Libertador,Montevideo,6,10,9
2010,Septiembre,Corredor Norte y Casares,887,Corredor Norte,Casares,7,29,9
2010,Septiembre,EEUU y 33 Orientales,276,EEUU,33 Orientales,8,30,9
2010,Septiembre,F. Alcorta y Derecho,849,F. Alcorta,Derecho,9,31,9
2010,Septiembre,Montevideo y Peron,235,Montevideo,Peron,10,28,9
2010,Septiembre,Cnel. Diaz y Mansilla,160,Cnel. Diaz,Mansilla,11,32,9
2010,Septiembre,Arenales y Montevideo,346,Arenales,Montevideo,12,10,9
2010,Octubre,Virrey Cevallos y Chile,1005,Virrey Cevallos,Chile,1,19,10
2010,Octubre,Azopardo y Mexico,529,Azopardo,Mexico,2,25,10
2010,Octubre,Rincon y Carlos Calvo,1135,Rincon,Carlos Calvo,3,26,10
2010,Octubre,Virrey Liniers y C.Calvo,788,Virrey Liniers,C.Calvo,4,27,10
2010,Octubre,Billinghurst y Peron,954,Billinghurst,Peron,5,28,10
2010,Octubre,Del Libertador y Montevideo,731,Del Libertador,Montevideo,6,10,10
2010,Octubre,Corredor Norte y Casares,1053,Corredor Norte,Casares,7,29,10
2010,Octubre,EEUU y 33 Orientales,369,EEUU,33 Orientales,8,30,10
2010,Octubre,F. Alcorta y Derecho,932,F. Alcorta,Derecho,9,31,10
2010,Octubre,Montevideo y Peron,258,Montevideo,Peron,10,28,10
2010,Octubre,Cnel. Diaz y Mansilla,175,Cnel. Diaz,Mansilla,11,32,10
2010,Octubre,Arenales y Montevideo,380,Arenales,Montevideo,12,10,10
2010,Noviembre,Virrey Cevallos y Chile,962,Virrey Cevallos,Chile,1,19,11
2010,Noviembre,Azopardo y Mexico,779,Azopardo,Mexico,2,25,11
2010,Noviembre,Rincon y Carlos Calvo,1273,Rincon,Carlos Calvo,3,26,11
2010,Noviembre,Virrey Liniers y C.Calvo,853,Virrey Liniers,C.Calvo,4,27,11
